FID,mslink,zona,tp_umidade,distr_umid,temperatur,desc_compl,the_geom
ClimadoBrasil_5000.150,0,Tropical Brasil Central,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-42.323077088005164 -22.682947069527906
ClimadoBrasil_5000.23,0,Zona Econômica Exclusiva,,,,Massa d'água,-30.243000000000002 4.1704
ClimadoBrasil_5000.24,0,Zona Econômica Exclusiva,,,,Massa d'água,-51.1588 3.9480999999999997
ClimadoBrasil_5000.25,0,Zona Econômica Exclusiva,,,,"Tropical Nordeste Oriental, quente - média > 18º C em todos os meses, úmido 1 a 2 meses secos",-29.359199999999998 0.8253999999999999
ClimadoBrasil_5000.26,0,Zona Econômica Exclusiva,,,,"Tropical Nordeste Oriental, quente - média > 18º C em todos os meses, úmido 1 a 2 meses secos",-29.381599999999995 0.7970999999999999
ClimadoBrasil_5000.27,0,Zona Econômica Exclusiva,,,,"Tropical Nordeste Oriental, quente - média > 18º C em todos os meses, úmido 1 a 2 meses secos",-33.8261 -3.8324
ClimadoBrasil_5000.28,0,Zona Econômica Exclusiva,,,,"Tropical Nordeste Oriental, quente - média > 18º C em todos os meses, úmido 1 a 2 meses secos",-32.455 -3.8104
ClimadoBrasil_5000.29,0,Zona Econômica Exclusiva,,,,"Tropical Nordeste Oriental, quente - média > 18º C em todos os meses, úmido 1 a 2 meses secos",-32.467 -3.8544
ClimadoBrasil_5000.57,0,Equatorial,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Equatorial, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-64.08169052635827 2.936080746669008
ClimadoBrasil_5000.58,0,Equatorial,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Equatorial, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-63.7588219749041 3.0391155516861077
ClimadoBrasil_5000.31,0,Zona Econômica Exclusiva,,,,Massa d'água,-36.184999999999995 -4.893599999999999
ClimadoBrasil_5000.32,0,Zona Econômica Exclusiva,,,,Massa d'água,-34.8533 -7.6068999999999996
ClimadoBrasil_5000.33,0,Zona Econômica Exclusiva,,,,Massa d'água,-34.4204 -7.582499999999999
ClimadoBrasil_5000.34,0,Zona Econômica Exclusiva,,,,Massa d'água,-34.4204 -7.582499999999999
ClimadoBrasil_5000.35,0,Zona Econômica Exclusiva,,,,Massa d'água,-35.4602 -15.2067
ClimadoBrasil_5000.36,0,Zona Econômica Exclusiva,,,,Massa d'água,-38.7333 -15.635999999999997
ClimadoBrasil_5000.59,0,Equatorial,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Equatorial, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-63.64438260511884 2.7019390305868516
ClimadoBrasil_5000.60,0,Equatorial,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Equatorial, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-63.50007072692118 2.893981262247047
ClimadoBrasil_5000.153,0,Tropical Brasil Central,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-41.83635659112686 -21.715103713326297
ClimadoBrasil_5000.37,0,Zona Econômica Exclusiva,,,,Massa d'água,-30.622 -17.3695
ClimadoBrasil_5000.38,0,Zona Econômica Exclusiva,,,,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido sem seca",-38.6844 -18.0277
ClimadoBrasil_5000.39,0,Zona Econômica Exclusiva,,,,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido sem seca",-38.6887 -18.109599999999997
ClimadoBrasil_5000.40,0,Zona Econômica Exclusiva,,,,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido sem seca",-38.655199999999994 -18.139
ClimadoBrasil_5000.41,0,Zona Econômica Exclusiva,,,,"Tropical Nordeste Oriental, quente - média > 18º C em todos os meses, úmido 1 a 2 meses secos",-28.892599999999998 -20.4823
ClimadoBrasil_5000.42,0,Zona Econômica Exclusiva,,,,"Tropical Nordeste Oriental, quente - média > 18º C em todos os meses, úmido 1 a 2 meses secos",-29.340199999999996 -20.4911
ClimadoBrasil_5000.43,0,Zona Econômica Exclusiva,,,,"Tropical Nordeste Oriental, quente - média > 18º C em todos os meses, úmido 1 a 2 meses secos",-28.8608 -20.508799999999997
ClimadoBrasil_5000.44,0,Zona Econômica Exclusiva,,,,"Tropical Nordeste Oriental, quente - média > 18º C em todos os meses, úmido 1 a 2 meses secos",-28.853499999999997 -20.5358
ClimadoBrasil_5000.61,0,Equatorial,úmido,3 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Equatorial, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 3 meses secos",-61.49212517116638 4.3792745426241755
ClimadoBrasil_5000.62,0,Equatorial,,3 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Equatorial, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 3 meses secos",-60.93793617691294 4.564186714976738
ClimadoBrasil_5000.63,0,Equatorial,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-50.40976336351397 1.3507203246565185
ClimadoBrasil_5000.444,1528,Massa d'água,,,,Massa d'água,-58.4169 -3.3326
ClimadoBrasil_5000.45,0,Zona Econômica Exclusiva,,,,Massa d'água,-46.595699999999994 -24.0904
ClimadoBrasil_5000.64,0,Equatorial,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-50.415066267676785 1.3423072873390804
ClimadoBrasil_5000.65,0,Tropical Zona Equatorial,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-59.08164906880254 1.3003353936325566
ClimadoBrasil_5000.79,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-56.55818711604458 -20.899036935068803
ClimadoBrasil_5000.46,0,Zona Econômica Exclusiva,,,,Massa d'água,-46.129099999999994 -24.531899999999997
ClimadoBrasil_5000.47,0,Zona Econômica Exclusiva,,,,Massa d'água,-45.9494 -24.682799999999997
ClimadoBrasil_5000.48,0,Equatorial,super-úmido,sem seca,quente - média > 18° C em todos os meses,"Equatorial, quente - média > 18° C em todos os meses, super-úmido sem seca",-73.09385192594021 -6.386427850765345
ClimadoBrasil_5000.49,0,Equatorial,super-úmido,sem seca,quente - média > 18° C em todos os meses,"Equatorial, quente - média > 18° C em todos os meses, super-úmido sem seca",-48.599567077761215 -1.281959768228179
ClimadoBrasil_5000.68,0,Tropical Brasil Central,super-úmido,sem seca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido sem seca",-43.83611554746263 -22.802455324989065
ClimadoBrasil_5000.69,0,Tropical Brasil Central,super-úmido,sem seca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido sem seca",-39.427582959591575 -16.55937550124355
ClimadoBrasil_5000.50,0,Equatorial,super-úmido,subseca,quente - média > 18° C em todos os meses,"Equatorial, quente - média > 18° C em todos os meses, super-úmido subseca",-73.9520631615489 -7.529170133038426
ClimadoBrasil_5000.51,0,Equatorial,super-úmido,subseca,quente - média > 18° C em todos os meses,"Equatorial, quente - média > 18° C em todos os meses, super-úmido subseca",-48.88980123315671 -1.7290897030508219
ClimadoBrasil_5000.52,0,Equatorial,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Equatorial, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-64.18762250497254 1.4861505476541783
ClimadoBrasil_5000.109,0,Tropical Brasil Central,semi-árido,7 a 8 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-árido 7 a 8 meses secos",-42.08683901942528 -14.254174905130611
ClimadoBrasil_5000.53,0,Equatorial,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Equatorial, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-56.063341064142634 1.8361528202493727
ClimadoBrasil_5000.54,0,Equatorial,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-63.688684423175985 3.9097580588925576
ClimadoBrasil_5000.55,0,Equatorial,semi-úmido,4 a 5 meses secos,quente - média > 18° C em todos os meses,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-59.08164906880254 1.3003353936325566
ClimadoBrasil_5000.66,0,Tropical Zona Equatorial,semi-úmido,4 a 5 meses secos,quente - média > 18° C em todos os meses,"Tropical Zona Equatorial, quente - média > 18° C em todos os meses, semi-úmido 4 a 5 meses secos",-60.21219371531422 4.581657086795415
ClimadoBrasil_5000.67,0,Tropical Brasil Central,super-úmido,sem seca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido sem seca",-44.07311527739448 -22.903651398533462
ClimadoBrasil_5000.158,0,Tropical Brasil Central,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-40.683988122784115 -11.080429346309392
ClimadoBrasil_5000.70,0,Tropical Brasil Central,super-úmido,subseca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido subseca",-43.941123693822355 -22.90325483076233
ClimadoBrasil_5000.71,0,Tropical Brasil Central,super-úmido,subseca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido subseca",-43.80188444678359 -22.688034608674258
ClimadoBrasil_5000.72,0,Tropical Brasil Central,super-úmido,subseca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido subseca",-43.25168159247313 -22.84945797233395
ClimadoBrasil_5000.73,0,Tropical Brasil Central,super-úmido,subseca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido subseca",-42.59436944769609 -22.89264277761167
ClimadoBrasil_5000.74,0,Tropical Brasil Central,super-úmido,subseca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido subseca",-41.32976098873677 -20.5758516723445
ClimadoBrasil_5000.75,0,Tropical Brasil Central,super-úmido,subseca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido subseca",-40.881281188360965 -19.962322442767633
ClimadoBrasil_5000.76,0,Tropical Brasil Central,super-úmido,subseca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido subseca",-40.22124944876912 -20.166839413479035
ClimadoBrasil_5000.77,0,Tropical Brasil Central,super-úmido,subseca,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, super-úmido subseca",-39.569840822210104 -16.103478108175764
ClimadoBrasil_5000.78,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-56.973922776657965 -22.21892939874005
ClimadoBrasil_5000.567,675,Massa d'água,,,,Massa d'água,-53.1641 -33.504599999999996
ClimadoBrasil_5000.80,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-54.58553489572444 -19.278654261969102
ClimadoBrasil_5000.81,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-41.73030098672305 -22.27963963815776
ClimadoBrasil_5000.82,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-43.77187801265656 -22.60297415522416
ClimadoBrasil_5000.84,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-40.438023292173725 -20.605824709174012
ClimadoBrasil_5000.85,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-41.237035514342885 -19.861348607246647
ClimadoBrasil_5000.86,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-39.66978475904438 -14.320895369577253
ClimadoBrasil_5000.87,0,Tropical Brasil Central,úmido,1 a 2 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 1 a 2 meses secos",-40.683988122784115 -11.080429346309392
ClimadoBrasil_5000.88,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-57.48275481350589 -22.17249162186574
ClimadoBrasil_5000.89,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-53.56450907816188 -16.594971387638797
ClimadoBrasil_5000.92,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-48.07065916972959 -20.992875958324223
ClimadoBrasil_5000.93,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-47.7285351099415 -20.6804397845946
ClimadoBrasil_5000.94,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-43.044034448861254 -21.056251243300864
ClimadoBrasil_5000.95,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-42.531370765341 -21.00069179222798
ClimadoBrasil_5000.137,0,Tropical Brasil Central,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-47.98785441881167 -24.335723559145823
ClimadoBrasil_5000.96,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-40.71498342510704 -20.81541973287196
ClimadoBrasil_5000.97,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-39.73116585361758 -13.798409041884133
ClimadoBrasil_5000.98,0,Tropical Brasil Central,úmido,3 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, úmido 3 meses secos",-41.50250299422903 -13.14073672239233
ClimadoBrasil_5000.99,0,Tropical Brasil Central,semi-úmido,4 a 5 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-úmido 4 a 5 meses secos",-60.775980334547135 -13.692250602889144
ClimadoBrasil_5000.100,0,Tropical Brasil Central,semi-úmido,4 a 5 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-úmido 4 a 5 meses secos",-50.70690243753914 -17.68878454714137
ClimadoBrasil_5000.102,0,Tropical Brasil Central,semi-úmido,4 a 5 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-úmido 4 a 5 meses secos",-43.044034448861254 -21.056251243300864
ClimadoBrasil_5000.103,0,Tropical Brasil Central,semi-úmido,4 a 5 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-úmido 4 a 5 meses secos",-41.81484280891321 -12.791796226118205
ClimadoBrasil_5000.104,0,Tropical Brasil Central,semi-árido,6 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-árido 6 meses secos",-44.847673239294444 -8.372294665956286
ClimadoBrasil_5000.105,0,Tropical Brasil Central,semi-árido,6 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-árido 6 meses secos",-44.03387156647552 -16.264469956256754
ClimadoBrasil_5000.106,0,Tropical Brasil Central,semi-árido,6 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-árido 6 meses secos",-41.81484280891321 -12.791796226118205
ClimadoBrasil_5000.107,0,Tropical Brasil Central,semi-árido,6 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-árido 6 meses secos",-41.52659451478748 -16.788151522086125
ClimadoBrasil_5000.108,0,Tropical Brasil Central,semi-árido,7 a 8 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-árido 7 a 8 meses secos",-42.9506617305375 -13.492302884360281
ClimadoBrasil_5000.568,1699,,,,,"Equatorial, quente - média > 18° C em todos os meses, úmido 3 meses secos",-50.214 1.8640999999999996
ClimadoBrasil_5000.292,0,Temperado,super-úmido,subseca,mesotérmico mediano - média > 10° C,"Temperado, mesotérmico mediano - média > 10° C, super-úmido subseca",-50.10000375537632 -26.79791093926401
ClimadoBrasil_5000.110,0,Tropical Brasil Central,semi-árido,7 a 8 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-árido 7 a 8 meses secos",-41.146551753733604 -8.788564584036937
ClimadoBrasil_5000.111,0,Tropical Brasil Central,semi-árido,7 a 8 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-árido 7 a 8 meses secos",-39.04902665632558 -10.817419300304278
ClimadoBrasil_5000.112,0,Tropical Brasil Central,semi-árido,9 a 10 meses secos,quente - média > 18° C em todos os meses,"Tropical Brasil Central, quente - média > 18° C em todos os meses, semi-árido 9 a 10 meses secos",-40.187761175087275 -9.466878368942952
ClimadoBrasil_5000.113,0,Tropical Brasil Central,super-úmido,sem seca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido sem seca",-51.544630355677945 -23.804258747070577
ClimadoBrasil_5000.114,0,Tropical Brasil Central,super-úmido,sem seca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido sem seca",-50.750618547475156 -23.873729714456875
ClimadoBrasil_5000.121,0,Tropical Brasil Central,super-úmido,subseca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido subseca",-47.01083479850431 -23.440601311610095
ClimadoBrasil_5000.122,0,Tropical Brasil Central,super-úmido,subseca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido subseca",-45.630768636154876 -23.43973210249014
ClimadoBrasil_5000.115,0,Tropical Brasil Central,super-úmido,sem seca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido sem seca",-45.07137346068843 -23.389020471334952
ClimadoBrasil_5000.116,0,Tropical Brasil Central,super-úmido,sem seca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido sem seca",-43.93402138556191 -22.85808189472854
ClimadoBrasil_5000.117,0,Tropical Brasil Central,super-úmido,sem seca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido sem seca",-40.9920441551558 -20.33160049715191
ClimadoBrasil_5000.118,0,Tropical Brasil Central,super-úmido,sem seca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido sem seca",-40.61314103944966 -20.34139874176208
ClimadoBrasil_5000.123,0,Tropical Brasil Central,super-úmido,subseca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido subseca",-44.575434261251594 -22.730292134650874
ClimadoBrasil_5000.124,0,Tropical Brasil Central,super-úmido,subseca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido subseca",-43.937099596591345 -22.86071040367544
ClimadoBrasil_5000.125,0,Tropical Brasil Central,super-úmido,subseca,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18º C em pelo menos 1 mês, super-úmido subseca",-43.595982042427885 -22.815471489916483
ClimadoBrasil_5000.151,0,Tropical Brasil Central,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-42.28553040766653 -22.13811898892153
ClimadoBrasil_5000.152,0,Tropical Brasil Central,úmido,1 a 2 meses secos,subquente - média entre 15 e 18 ° em pelo menos 1 mês,"Tropical Brasil Central, subquente - média entre 15 e 18 ° C em pelo menos 1 mês, úmido 1 a 2 meses secos",-42.07776323012925 -22.38690671423245
